char,word
團,thuan2
圖,thu2
土,thu3
圳,ts`en4
地,te
在,tsai4
圭,kui1
圬,wu1
圯,yi2
坊,fang1
坑,kheng1
址,ts`i3
坍,than1
均,"ts^u""n1"
坎,khan3
圾,ts^i1
坐,tsuo4
坏,huai4
垃,la1
坷,khe3
坪,phing2
坩,kan1
坡,pho1
坦,than3
坤,khun1
坼,ts`he4
垂,ts`hui2
型,s^ing2
垠,yin2
垣,"u""an2"
垢,kou4
城,ts`heng2
垮,khua3
埂,keng3
埔,pu4
埋,mai2
埃,ai1
域,"u""4"
堅,ts^ian1
堊,e4
堆,tui1
埠,pu4
埤,phi2
基,ts^i1
堂,thang2
堵,tu3
執,ts`i2
培,phei2
堯,yao2
堪,khan1
場,ts`hang3
堤,ti1
堰,yan4
報,pao4
堡,pao3
塞,sai1
塑,su4
塘,thang2
塗,thu2
塚,ts`ong3
塔,tha3
填,thian2
塌,tha1
塭,wen1
塊,khuai4
塢,wu4
塵,ts`hen2
塾,s`u2
境,ts^ing4
墓,mu4
墊,tian4
塹,ts^hian4
墅,s`u4
墀,ts`hi2
墟,"s^u""1"
增,tseng1
墳,fen2
墜,ts`ui4
墮,tuo4
壁,pi4
墾,khen3
壇,than2
壅,yong1
壕,hao2
壓,ya1
壑,he4
壙,khuang4
壘,lei3
壞,huai4
壟,long3
壢,li4
壤,z`ang3
壩,pa4
士,s`i4
壬,z`en2
壯,ts`uang4
壹,yi1
壺,hu2
壽,s`ou4
夏,s^ia4
夔,khui2
夕,s^i1
外,wai4
夙,su4
多,tuo1
夜,ye4
夠,kou4
夥,huo3
夢,meng4
夤,yin2
大,ta4
天,thian1
夫,fu1
太,thai4
夭,yao1
央,yang1
失,s`i1
夷,yi2
夸,khua1
夾,ts^ia1
奉,feng4
奇,ts^hi2
奈,nai4
奄,yan3
奔,pen1
奕,yi4
契,ts^hi4
奏,tsou4
奎,khui2
奐,huan4
套,thao4
奘,tsang4
奚,s^i1
奢,s`e1
奠,tian4
奧,ao4
奪,tuo2
奩,lian2
奮,fen4
女,"nu""3"
奴,nu2
奶,nai3
妄,wang4
奸,ts^ian1
妃,fei1
好,hao3
她,tha1
如,z`u2
妁,s`uo4
妝,ts`uang1
妒,tu4
妨,fang2
妞,niu1
妣,pi3
妙,miao4
妖,yao1
妍,yan2
妤,"u""2"
妓,ts^i4
妊,z`en4
妥,thuo3
妾,ts^hie4
妻,ts^hi1
委,wei3
妹,mei4
妮,ni1
姑,ku1
姆,mu3
姐,ts^ie3
姍,s`an1
始,s`i3
姓,s^ing4
姊,tsi3
妯,ts`ou2
妳,nai3
姒,si4
姜,ts^iang1
姘,phin1
姿,tsi1
姣,ts^iao1
姨,yi2
娃,wa2
姥,lao3
姪,ts`i2
姚,yao2
姦,ts^ian1
威,wei1
姻,yin1
娑,suo1
娘,niang2
娜,na4
娟,"ts^u""an1"
娛,"u""2"
娓,wei3
姬,ts^i1
娠,s`en1
娣,ti4
娩,mian3
娥,e2
娌,li3
娶,"ts^hu""3"
婁,lou2
婉,wan3
婦,fu4
婪,lan2
婀,e1
娼,ts`hang1
婢,pi4
婚,hun1
婆,pho2
婊,piao3
婷,thing2
媚,mei4
婿,"s^u""4"
媒,mei2
媛,"u""an4"
嫁,ts^ia4
嫉,ts^i2
嫌,s^ian2
媾,kou4
媽,ma1
媼,ao3
媳,s^i2
嫂,sao3
媲,phi4
嫡,ti2
嫦,ts`hang2
嫩,nen4
嫗,"u""4"
嫖,phiao2
嫘,lei2
嫣,yan1
嬉,s^i1
嫻,s^ian2
嬋,ts`han2
嫵,wu3
嬌,ts^iao1
嬝,niao3
嬴,ying2
嬰,ying1
嬪,phin2
嬤,ma1
嬸,s`en3
孀,s`uang1
子,tsi
孑,ts^ie2
孓,"ts^u""e2"
孔,khong3
孕,"u""n4"
字,tsi4
存,tshun2
孝,s^iao4
孜,tsi1
孚,fu2
孟,meng4
孤,ku1
季,ts^i4
孩,hai2
孫,sun1
孰,s`u2
孳,tsi1
孱,tshan4
孵,fu1
學,"s^u""e2"
孺,z`u2
孽,nie4
孿,luan2
它,tha1
宇,"u""3"
守,s`ou3
宅,ts`ai2
安,an1
完,wan2
宋,song4
宏,hong2
宗,tsong1
定,ting4
官,kuan1
宜,yi2
宙,ts`ou4
宛,wan3
宣,"s^u""an1"
宦,huan4
室,s`i4
客,khe4
宥,you4
宰,tsai3
害,hai4
家,ts^ia1
宴,yan4
宮,kong1
宵,s^iao1
容,z`ong2
宸,ts`hen2
寇,khou4
寅,yin2
寄,ts^i4
寂,ts^i4
宿,su4
密,mi4
寒,han2
富,fu4
寓,"u""4"
寐,mei4
寞,mo4
寧,ning2
寡,kua3
寥,liao2
實,s`i2
寨,ts`ai4
寢,ts^hin3
寤,wu4
察,ts`ha2
寮,liao2
寬,khuan1
審,s`en3
寫,s^ie3
寵,ts`hong3
寶,pao3
寸,tshun4
寺,si4
封,feng1
射,s`e4
尉,wei4
專,ts`uan1
將,ts^iang1
尊,tsun1
尋,"s^u""n2"
對,tui4
導,tao3
小,s^iao3
少,s`ao3
尖,ts^ian1
尚,s`ang4
尤,you2
尬,ka4
就,ts^iu4
尷,kan1
尸,s`i1
尺,ts`hi3
尼,ni2
局,"ts^u""2"
屁,phi4
尿,niao4
尾,wei3
屈,"ts^hu""1"
居,"ts^u""1"
屆,ts^ie4
屎,s`i3
屏,phing2
屍,s`i1
屋,wu1
屑,s^ie4
展,ts`an3
屐,ts^i1
屠,thu2
屜,thi4
屢,"lu""3"
層,tsheng2
履,"lu""3"
屬,s`u3
屯,thun2
山,s`an1
屹,yi4
岐,ts^hi2
岑,tshen2
岔,ts`ha4
岌,ts^i2
岷,min2
岡,kang1
岸,an4
岩,yan2
岫,s^iu4
岱,tai4
岳,"u""e4"
峙,ts`i4
峭,ts^hiao4
峽,s^ia2
峻,"ts^u""n4"
峪,"u""4"
峨,e2
峰,feng1
島,tao3
崁,khan4
崇,ts`hong2
崆,khong1
崎,ts^hi2
崛,"ts^u""e2"
崖,ya2
崢,ts`eng1
崑,khun1
崩,peng1
崔,tshui1
崙,lun2
嵌,ts^hian4
嵐,lan2
嵩,song1
嶄,ts`an3
嶇,"ts^hu""1"
嶝,teng4
嶼,"u""3"
嶺,ling3
嶽,"u""e4"
巍,wei1
巔,tian1
巒,luan2
巖,yan2
川,ts`huan1
州,ts`ou1
巢,ts`hao2
工,kong1
巨,"ts^u""4"
巧,ts^hiao3
左,tsuo3
巫,wu1
差,ts`ha4
己,ts^i3
已,yi3
巳,si4
巴,pa1
巷,s^iang4
巽,"s^u""n4"
巾,ts^in1
市,s`i4
布,pu4
帆,fan1
希,s^i1
帘,lian2
帚,ts`ou3
帖,thie1
帕,pha4
帛,po2
帑,thang3
帝,ti4
帥,s`uai4
席,s^i2
師,s`i1
常,ts`hang2
帶,tai4
帳,ts`ang4
帷,wei2
幅,fu2
帽,mao4
幀,ts`eng4
幌,huang3
幛,ts`ang4
幣,pi4
幕,mu4
幗,kuo2
幔,man4
幢,ts`huang2
幟,ts`i4
幫,pang1
干,kan4
平,phing2
并,ping4
年,nian2
幸,s^ing4
幹,kan4
幻,huan4
幼,you4
幽,you1
幾,ts^i3
序,"s^u""4"
庇,pi4
床,ts`huang2
庚,keng1
店,tian4
府,fu3
底,ti3
庖,phao2
庠,s^iang2
度,tu4
庫,khu4
庭,thing2
座,tsuo4
康,khang1
庸,yong1
庶,s`u4
庵,an1
庾,"u""3"
廊,lang2
廁,tshe4
廂,s^iang1
廉,lian2
廈,s`a4
廓,khuo4
廖,liao4
廢,fei4
廚,ts`hu2
廟,miao4
廝,si1
廣,kuang3
廠,ts`hang3
龐,phang2
廬,lu2
廳,thing1
廷,thing2
延,yan2
建,ts^ian4
廿,nian4
弁,pian4
弄,nong4
弈,yi4
弊,pi4
式,s`i4
弒,s`i4
弓,kong1
弔,tiao4
引,yin3
弘,hong2
弗,fu2
弛,ts`hi2
弟,ti4
弦,s^ian2
弧,hu2
弩,nu3
弭,mi3
弱,z`uo4
張,ts`ang1
強,ts^hiang2
弼,pi4
彆,pie4
彈,tan4
彌,mi2
彎,wan1
彗,hui4
彙,hui4
彞,yi2
彤,thong2
形,s^ing2
彥,yan4
彬,pin1
彩,tshai3
彫,tiao1
彭,pheng2
彰,ts`ang1
影,ying3
彷,fang3
役,yi4
往,wang3
征,ts`eng1
彿,fu2
彼,pi3
很,hen3
待,tai4
徊,huai2
律,"lu""4"
徇,"s^u""n4"
後,hou4
徒,thu2
徑,ts^ing4
徐,"s^u""2"
得,te2
徙,s^i3
從,tshong2
徘,phai2
御,"u""4"
復,fu4
循,"s^u""n2"
徨,huang2
徬,phang2
微,wei1
徹,ts`he4
德,te2
徵,ts`i3
徽,hui1
心,s^in1
必,pi4
忙,mang2
忖,tshun3
忘,wang4
忌,ts^i4
志,ts`i4
忍,z`en3
忱,ts`hen2
快,khuai4
忝,thian3
忠,ts`ong1
忽,hu1
念,nian4
忿,fen4
怏,yang4
怔,ts`eng1
怯,ts^hie4
怵,ts`hu4
怖,pu4
怪,kuai4
怕,pha4
怡,yi2
性,s^ing4
怒,nu4
思,si1
怠,tai4
急,ts^i2
怎,tsen3
怨,"u""an4"
恍,huang3
恰,ts^hia4
恨,hen4
恢,hui1
恆,heng2
恃,s`i4
恬,thian2
恫,tong4
恪,khe4
恤,"s^u""4"
恙,yang4
恣,tsi4
恥,ts`hi3
恐,khong3
恕,s`u4
恭,kong1
恩,en1
息,s^i1
悄,ts^hiao1
悟,wu4
悚,song3
悍,han4
悔,hui3
悌,thi4
悅,"u""e4"
悖,pei4
恿,yong3
患,huan4
悉,s^i1
悠,you1
您,nin2
惋,wan3
悴,tshui4
惦,tian4
悽,ts^hi1
情,ts^hing2
悻,s^ing4
悵,ts`hang4
惜,s^i1
悼,tao4
惘,wang3
惕,thi4
惆,ts`hou2
惟,wei2
悸,ts^i4
惚,hu1
惑,huo4
惡,e4
悲,pei1
悶,men4
惠,hui4
愜,ts^hie4
愣,leng4
惺,s^ing1
愕,e4
惰,tuo4
惻,tshe4
惴,ts`ui4
慨,khai3
惱,nao3
愎,pi4
惶,huang2
愉,"u""2"
愀,ts^hiao3
愚,"u""2"
意,yi4
慈,tshi2
感,kan3
想,s^iang3
愛,ai4
惹,z`e3
愁,ts`hou2
愈,"u""4"
慎,s`en4
慌,huang1
慄,li4
慍,"u""n4"
愾,khai4
愴,ts`huang4
愧,khui4
慇,yin1
愿,"u""an4"
態,thai4
慷,khang1
慢,man4
慣,kuan4
慟,thong4
慚,tshan2
慘,tshan3
慶,ts^hing4
慧,hui4
慮,"lu""4"
慝,the4
慕,mu4
憂,you1
慼,ts^hi1
慰,wei4
慫,song3
慾,"u""4"
憧,ts`hong1
憐,lian2
憫,min3
憎,tseng1
憬,ts^ing3
憚,tan4
憤,fen4
憔,ts^hiao2
憲,s^ian4
憑,phing2
憩,ts^hi4
憊,pei4
懍,lin3
憶,yi4
憾,han4
懊,ao4
懈,s^ie4
應,ying1
懂,tong3
懇,khen3
懦,nuo4
懣,men4
懲,ts`heng2
懷,huai2
懶,lan3
懵,meng3
懸,"s^u""an2"
懺,ts`han4
懼,"ts^u""4"
懾,s`e4
懿,yi4
戀,lian4
戈,ke1
戊,wu4
戎,z`ong2
戌,"s^u""1"
戍,s`u4
成,ts`heng2
戒,ts^ie4
我,wo3
或,huo4
戕,ts^hiang1
戚,ts^hi1
戛,ts^ia2
戟,ts^i3
戡,khan1
戢,ts^i2
截,ts^ie2
戮,lu4
戰,ts`an4
戲,s^i4
戴,tai4
戳,ts`huo1
戶,hu4
房,fang2
戾,li4
所,suo3
扁,pian3
扇,s`an4
扈,hu4
扉,fei1
手,s`ou3
才,tshai2
扎,ts`a1
打,ta3
扔,z`eng1
扒,pa1
扣,khou4
扛,khang2
托,thuo1
抄,ts`hao1
抗,khang4
抖,tou3
技,ts^i4
扶,fu2
抉,"ts^u""e2"
扭,niu3
把,pa3
扼,e4
找,ts`ao3
批,phi1
扳,pan1
抒,s`u1
扯,ts`he3
折,ts`e2
扮,pan4
投,thou2
抓,ts`ua1
抑,yi4
承,ts`heng2
拉,la1
拌,pan4
拄,ts`u3
抿,min3
拂,fu2
抹,mo3
拒,"ts^u""4"
招,ts`ao1
披,phi1
拓,tha4
拔,pa2
拋,phao1
拈,nian1
抨,pheng1
抽,ts`hou1
押,ya1
拐,kuai3
拙,ts`uo1
拇,mu3
拍,phai1
抵,ti3
拚,phan4
抱,pao4
拘,"ts^u""1"
拖,thuo1
拗,ao3
拆,ts`hai1
抬,thai2
拎,lin1
拜,pai4
挖,wa1
按,an4
拼,phin1
拭,s`i4
持,ts`hi2
拮,ts^ie2
拽,ts`uai1
指,ts`i3
拱,kong3
拷,khao3
拯,ts`eng3
括,khuo4
拾,s`i2
拴,s`uan1
挑,thiao1
拳,"ts^hu""an2"
挈,ts^hie4
拿,na2
捎,s`ao1
挾,s^ie2
振,ts`en4
捕,pu3
捂,wu3
捆,khun3
捏,nie1
捉,ts`uo1
挺,thing3
捐,"ts^u""an1"
挽,wan3
挪,nuo2
挫,tshuo4
挨,ai1
掠,"lu""e4"
控,khong4
捲,"ts^u""an3"
掖,ye1
探,than4
接,ts^ie1
捷,ts^ie2
捧,pheng3
掘,"ts^u""e2"
措,tshuo4
捱,ai2
掩,yan3
掉,tiao4
掃,sao3
掛,kua4
捫,men2
推,thui1
掄,lun1
授,s`ou4
掙,ts`eng1
採,tshai3
掬,"ts^u""1"
排,phai2
掏,thao1
掀,s^ian1
捻,nian3
捩,lie4
捨,s`e3
掣,ts`he4
掌,ts`ang3
描,miao2
揀,ts^ian3
揩,khai1
揉,z`ou2
揆,khui2
揍,tsou4
插,ts`ha1
揣,ts`huai1
提,thi2
握,wo4
揖,yi1
揭,ts^ie1
揮,hui1
捶,ts`hui2
援,"u""an2"
揪,ts^iu1
換,huan4
摒,ping3
揚,yang2
搓,tshuo1
搾,ts`a4
搞,kao3
搪,thang2
搭,ta1
搽,ts`ha2
搬,pan1
搏,po2
搜,sou1
搔,sao1
損,sun3
搶,ts^hiang3
搖,yao2
搗,tao3
撇,phie1
摘,ts`ai1
摔,s`uai1
撤,ts`he4
摸,mo1
摟,lou3
摺,ts`e2
摑,kuai1
摧,tshui1
摩,mo2
摯,ts`i4
摹,mo2
撞,ts`uang4
撲,phu1
撈,lao1
撐,ts`heng1
撰,ts`uan4
撥,po1
撓,nao2
撕,si1
撩,liao1
撒,sa1
撮,tshuo1
播,po1
撫,fu3
撚,nian3
撬,ts^hiao4
擅,s`an4
擁,yong1
擋,tang3
撻,tha4
撼,han4
據,"ts^u""4"
擄,lu3
擇,tse2
擂,lei2
操,tshao1
撿,ts^ian3
擒,ts^hin2
擔,tan1
擎,ts^hing2
擊,ts^i1
擘,pai1
擠,ts^i3
擰,ning2
擦,tsha1
擬,ni3
擱,ke1
擴,khuo4
擲,ts`i4
擾,z`ao3
攆,nian3
擺,pai3
擻,sou3
攀,phan1
攏,long3
攘,z`ang3
攔,lan2
攙,ts`han1
攝,s`e4
攜,s^ie2
攤,than1
攣,luan2
攫,"ts^u""e2"
攪,ts^iao3
攬,lan3
支,ts`i1
收,s`ou1
改,kai3
攻,kong1
放,fang4
政,ts`eng4
故,ku4
效,s^iao4
敝,pi4
敖,ao2
救,ts^iu4
教,ts^iao4
敗,pai4
啟,ts^hi3
敏,min3
敘,"s^u""4"
敞,ts`hang3
敦,tun1
敢,kan3
散,san4
敬,ts^ing4
