char,word
囪,
困,xon2
囤,
固,ko2
圃,bo`1
圈,xuien1
國,kwok2
圍,ve'3
園,vien1
圓,vien1
團,do`an3
圖,do3
土,tho4
圳,
地,dia6
在,tai6
圭,kwe1
圬,hu5
圯,zai5
坊,fu-o^ng3
坑,gan~1
址,so^i4
坍,
均,kwe@n1
坎,xam4
圾,
坐,
坏,ho`ai6
垃,la^p2
坷,
坪,
坩,
坡,fa1
坦,de@t2
坤,xon1
坼,
垂,thui3
型,
垠,ha^n3
垣,
垢,kau2
城,than~3
垮,xo`ai1
埂,gen~3
埔,
埋,mai1
埃,ai1
域,vu-k6
堅,kien1
堊,
堆,doi1
埠,
埤,
基,ko^1
堂,du-o^ng3
堵,
執,ts'e@p2
培,boi3
堯,ngieu1
堪,xam1
場,ts`u-o^ng3
堤,de1
堰,
報,bao`2
堡,
塞,ta^k2
塑,
塘,du-o^ng3
塗,do3
塚,
塔,
填,dien3
塌,
塭,
塊,xoi2
塢,
塵,ts`e@n3
塾,thuk6
境,kan~4
墓,mo6
墊,
塹,
墅,thu-6
墀,
墟,
增,ta^ng1
墳,fe@n3
墜,ts`ui6
墮,do`a6
壁,bits'2
墾,xe@n4
壇,dan3
壅,
壕,hao`3
壓,ap2
壑,hak2
壙,xo`ang4
壘,lui5
壞,ho`ai6
壟,lung5
壢,gats'6
壤,n~u-o^ng5
壩,
士,si5
壬,n~a^m1
壯,ts`ang2
壹,n~e@t2
壺,
壽,tho`6
夏,
夔,
夕,tits'6
外,ngo`ai6
夙,tuk2
多,da1
夜,za6
夠,
夥,
夢,
夤,
大,dai6
天,thien1
夫,fu1
太,thai2
夭,ieu4
央,u-o^ng1
失,the@t2
夷,zi3
夸,xo`a1
夾,zap2
奉,fung6
奇,ki3
奈,nai6
奄,a^m1
奔,
奕,
契,xe2
奏,te@u2
奎,
奐,
套,
奘,
奚,
奢,sa1
奠,
奧,ao`2
奪,do`at6
奩,
奮,fe@n2
女,nu-a5
奴,no1
奶,nai2
妄,
奸,zan1
妃,fi1
好,hao`2
她,
如,n~u-1
妁,
妝,ts`ang1
妒,do2
妨,
妞,
妣,
妙,zieu6
妖,ieu1
妍,ngo^n1
妤,
妓,ki5
妊,
妥,tho`a4
妾,thiep2
妻,the1
委,ui4
妹,muoi6
妮,ni1
姑,ko1
姆,
姐,thu-1
姍,
始,thui4
姓,tin~2
姊,ts'i6
妯,ze@u1
妳,
姒,
姜,
姘,
姿,tu-1
姣,
姨,zi3
娃,
姥,mu6
姪,de't6
姚,zieu1
姦,zan1
威,ui1
姻,n~e@n1
娑,
娘,nu-o^ng1
娜,na1
娟,
娛,
娓,vai5
姬,
娠,
娣,
娩,
娥,nga1
娌,
娶,thu2
婁,le@u1
婉,uien4
婦,fu6
婪,lam1
婀,
娼,
婢,ti3
婚,
婆,ba3
婊,
婷,
媚,
婿,
媒,moi2
媛,
嫁,za2
嫉,
嫌,hiem3
媾,
媽,ma2
媼,
媳,
嫂,ze@u1
媲,
嫡,dits'2
嫦,thu-o^ng3
嫩,no`n1
嫗,e@u4
嫖,feu2
嫘,
嫣,
嬉,
嫻,
嬋,
嫵,
嬌,kieu3
嬝,
嬴,
嬰,an~1
